id,beef,buckwheat,chicken,crab,egg,mackerel,milk,peach,peanut,pork,shellfish,shrimp,soybean,squid,tomato,walnut,wheat
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1
5,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
6,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1
7,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
8,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0
9,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0
10,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
12,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
13,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
16,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
17,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
18,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
22,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
23,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
24,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
25,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1